Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20081208,14303.25,14303.25,321942.1,-104.7639386,174.7111413,1198.7803,13736.68429,13719.24394,1156.6299,13879.05,2746.3105,22.33034265,0.143987318,467427.3605,85.51,0.22
20081209,15032.3301,14717.4697,244034.44,-17.61503455,155.4042212,487.8506,13833.49719,13906.70595,644.3799,14148.52402,2094.0195,16.5414834,0.093794407,452917.4045,85.84,0.22
20081210,14946,14946,268420.4,116.6384776,177.9383902,825.7403,13999.61557,14127.53495,2171.8906,14546.34002,3119.7998,25.04266114,0.130036871,916814.0219,85.45,0.22
20081211,15533.6201,15337.7305,247737.86,223.3782141,154.4872947,443.3193,14153.35698,14333.71903,2025.2402,14967.16404,2735.3008,21.23911671,0.110520764,689668.8087,83.63,0.22
20081212,15287.7002,14479.2305,291632.08,236.2147163,72.1354828,1134.6699,14210.97914,14420.73397,1248.6093,15149.624,1388.9394,10.3889044,0.044012241,637158.8807,83.66,0.22
20081215,15363.4902,15007.4199,202142.2,266.5989786,81.22905482,628.5108,14290.59543,14514.54501,1200.8604,15150.04002,1494.8906,11.03072628,0.109065331,543193.1347,82.13,0.22
20081216,15018.46,14819.7305,166160.52,294.0079546,62.2731816,397.5195,14370.55872,14686.98105,85.3399,15225.43808,1241.9698,8.94260023,0.101885552,661010.8669,80.35,0.22
20081217,15544.9697,15179.3799,218048.16,338.4811814,83.09823094,427.2402,14474.36451,14874.16698,707.2998,15201.99394,1351.6797,9.580374568,0.126175527,512568.2484,78.49,0.22
20081218,15335.2998,15301.1602,188300.62,372.4422511,78.93676093,247.0996,14571.83547,15072.96991,-79.9306,15178.77578,2091.96,15.6048297,0.106577629,813019.6727,79.78,0.22
20081219,15235.2197,15014.9805,242022.68,365.2659854,48.74061636,482.8291,14624.75684,15201.11191,-486.3906,15252.59982,1538.8496,11.32451307,0.005462875,771399.7476,81.1,0.22
20081222,15177.1201,14622.3896,141301.43,315.1864908,-0.983099057,605.0401,14624.53138,15158.86386,-136,15167.6877,1112.6093,8.235583964,-0.008867902,780546.6788,81.26,0.22
20081223,14472.0303,14084.8604,149415.46,240.3221154,-92.39404136,537.5292,14586.07982,15105.62089,-826.1602,14985.8037,374.7002,2.706180629,-0.087108283,693697.054,81.45,0.22
20081224,13855.8896,13855.8896,86549.87,176.005298,-132.2247488,444.8106,14547.7998,14966.26083,-946.0704,14730.52772,-860.7305,-5.721089609,-0.09156974,634774.5742,80.98,0.22
20081229,14080.8604,13967.6904,104662.15,135.1232445,-130.966544,364.3291,14526.91225,14837.71884,-799.0293,14496.6619,-424.7392,-8.232535542,-0.029129811,493318.3912,81.53,0.22
20081230,14476.7402,14189.0801,144171.56,94.13603168,-97.22218621,324.4004,14499.1587,14785.42988,-386.8896,14318.25994,-1342.2402,-3.542999027,-0.053927885,303480.2513,80.94,0.22
20081231,14377.5098,14302.1504,161219.55,73.07456831,-70.18534676,291.5996,14488.52268,14719.48291,166.6905,14271.27812,-1226.4199,-4.382746611,-0.049089173,412346.6948,81.17,0.22
20090102,14448.2197,14412.1201,175240.18,108.0176284,-0.100358224,655.3291,14541.31191,14710.74287,822.0196,14435.68204,284.42,-0.027517869,-0.027017844,338097.7034,81.48,0.23
20090105,15349.3301,15128.3203,217262.06,175.6850672,99.34168489,520.5,14638.64503,14721.02188,1379.17,14711.51604,516.3594,2.862482411,0.004208616,607174.5582,82.55,0.23
20090106,15612.4697,15367.9297,248447.22,222.4070359,96.57494599,283.6807,14721.58453,14722.1919,1325.3702,14947.7219,379.2998,0.316873569,0.02463005,307098.4308,82.78,0.23
20090107,15759.5303,14976.7402,979912,214.8330155,54.57293566,786.8096,14746.906,14708.18692,803.3204,15098.1139,-473.0595,-3.293043425,0.02435839,-769062.5589,82.17,0.23
20090108,14755.8096,14334.1504,437443.56,160.8569982,-48.33411472,653.3096,14715.38259,14687.53898,87.4297,15103.79984,-1081.8994,-4.704010174,0.013535059,-1159806.8,81.58,0.23
20090109,14530.8301,14297.4102,333249.64,113.6661516,-47.61313946,376.1894,14683.19762,14703.20402,141.9404,14970.726,-750.0694,-1.675165323,0.01344473,-1286889.202,82.52,0.23
20090112,14312.2598,13895.04,411159.96,42.97532932,-93.92551826,482.4004,14615.36928,14681.89006,-416.4805,14652.26408,-651.3896,-1.756512824,-0.024948947,-1470624.736,83.2,0.23
20090113,13930.2695,13644.54,348088.56,-37.06593291,-118.4283837,474.3897,14525.14837,14615.84699,-1895.2598,14283.97208,-552.7402,-3.638499159,-0.039861628,-1765047.404,84.25,0.23
20090114,13807.0303,13674.96,153766.88,-96.43740465,-107.1346611,350.9805,14447.0019,14562.75803,-1804.8994,14027.40216,-479.5292,-3.380742248,-0.047462799,-2132761.512,84.28,0.23
20090115,13136.2305,12904.0498,414620.4,-178.6813258,-170.6308576,800.5606,14332.33124,14448.30598,-1744.5,13792.81212,-1085.5205,-6.635436668,-0.1196485,-1881593.062,84.62,0.23
20090116,13278.9697,13113.4502,346710.96,-240.0800682,-131.2489109,309.79,14229.77682,14269.576,-1160.4004,13568.426,-979.9902,-7.488377431,-0.148284642,-2175752.045,84.04,0.23
20090119,13414.0898,13097.5,219442.88,-278.7093637,-104.4226601,421.6797,14145.03524,14047.24406,-1037.4502,13442.22404,-1047.4903,-6.290680341,-0.139883183,-2259176.241,85.03,0.23
20090120,12854.4004,12816.25,252157.36,-336.1293021,-113.8018736,523.7402,14032.15279,13792.27003,-1011.2305,13300.56798,-2083.0401,-9.923287125,-0.135292471,-2013163.676,86.13,0.23
