Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20110302,10609.28,10492.38,1533395584,39.80909643,-84.21989244,261.65,10605.70246,10663.074,-172.32,10569.994,-233.16,-2.17387656,-0.03176815,15915849.05,76.65,0.13615
20110303,10529.77,10522.4,1223843840,33.94619581,-63.36350054,100.96,10603.82794,10638.012,6.92,10596.656,-160.65,-1.49488167,-0.023682075,23222054.86,76.46,0.13615
20110304,10730.91,10664.37,1483275520,37.55257059,20.11907978,182.41,10612.38337,10623.098,240.95,10630.036,-114.63,-1.0605748,-0.015092751,28131891.13,76.38,0.13615
20110307,10626.97,10472.51,1493844352,24.90192324,-70.51977544,221.15,10602.15829,10587.847,-21.74,10606.222,-331.62,-3.060173633,-0.014972761,13195684.6,76.48,0.13615
20110308,10513.08,10509.23,1502911744,16.31566765,-62.65971515,60.08,10594.82798,10573.896,-98.9,10560.454,-317.61,-2.929224923,-0.005095897,18412165.69,76.78,0.13615
20110309,10607.23,10563.82,1310151552,14.53275324,-12.55353334,136.88,10594.32055,10574.936,-164.53,10579.878,-268.03,-2.468609343,0.012917513,1823066.656,76.69,0.13615
20110310,10544.13,10410.1,1310140544,0.596022535,-104.6044708,179.4,10579.08812,10573.103,-58,10549.55,-230.32,-2.159648185,-0.00877573,-10994846.31,77.26,0.13615
20110311,10298.64,10254.43,2360124160,-24.68484651,-217.9380923,179.95,10548.1683,10545.87,-331.59,10461.704,-324.67,-3.068975622,-0.034794509,-25501956.17,76.71,0.13615
20110314,10044.17,9578.65,3497524992,-94.78119864,-353.1063842,675.78,10459.81798,10445.51,-1073.17,10284.798,-832.22,-7.961763026,-0.105406066,-45762352.96,76.36,0.13615
20110315,9441.66,8227.63,4157194240,-229.6156489,-328.5713538,1392.86,10283.18294,10230.622,-1899.87,9900.79,-1921.61,-18.25452466,-0.179866722,-68982911.16,76.35,0.13615
